table_name,column_name,data_type
booking,isActive,boolean
booking,id,bigint
booking,dateCreated,timestamp without time zone
booking,recommendationId,bigint
booking,stockId,bigint
booking,quantity,integer
booking,token,character varying
booking,userId,bigint
booking,amount,numeric
booking,isCancelled,boolean
booking,isUsed,boolean
booking,dateUsed,timestamp without time zone
booking,cancellationDate,timestamp without time zone
booking,confirmationDate,timestamp without time zone
iris_venues,id,bigint
iris_venues,irisId,bigint
iris_venues,venueId,bigint
mediation,thumbCount,integer
mediation,idAtProviders,character varying
mediation,dateModifiedAtLastProvider,timestamp without time zone
mediation,id,bigint
mediation,dateCreated,timestamp without time zone
mediation,authorId,bigint
mediation,lastProviderId,bigint
mediation,offerId,bigint
mediation,credit,character varying
mediation,isActive,boolean
mediation,fieldsUpdated,text[]
offer,idAtProviders,character varying
offer,dateModifiedAtLastProvider,timestamp without time zone
offer,id,bigint
offer,dateCreated,timestamp without time zone
offer,productId,bigint
offer,venueId,bigint
offer,lastProviderId,bigint
offer,bookingEmail,character varying
offer,isActive,boolean
offer,type,character varying
offer,name,character varying
offer,description,text
offer,conditions,character varying
offer,ageMin,integer
offer,ageMax,integer
offer,url,character varying
offer,mediaUrls,text[]
offer,durationMinutes,integer
offer,isNational,boolean
offer,extraData,json
offer,isDuo,boolean
offer,fieldsUpdated,text[]
offer,withdrawalDetails,text
offerer,thumbCount,integer
offerer,firstThumbDominantColor,bytea
offerer,idAtProviders,character varying
offerer,dateModifiedAtLastProvider,timestamp without time zone
offerer,id,bigint
offerer,name,character varying
offerer,address,character varying
offerer,lastProviderId,bigint
offerer,postalCode,character varying
offerer,city,character varying
offerer,siren,character varying
offerer,isActive,boolean
offerer,validationToken,character varying
offerer,dateCreated,timestamp without time zone
offerer,fieldsUpdated,text[]
venue,thumbCount,integer
venue,firstThumbDominantColor,bytea
venue,idAtProviders,character varying
venue,dateModifiedAtLastProvider,timestamp without time zone
venue,id,bigint
venue,name,character varying
venue,address,character varying
venue,latitude,numeric
venue,longitude,numeric
venue,lastProviderId,bigint
venue,departementCode,character varying
venue,postalCode,character varying
venue,city,character varying
venue,siret,character varying
venue,managingOffererId,bigint
venue,bookingEmail,character varying
venue,isVirtual,boolean
venue,comment,text
venue,validationToken,character varying
venue,publicName,character varying
venue,fieldsUpdated,text[]
venue,venueTypeId,integer
venue,venueLabelId,integer
venue,dateCreated,timestamp without time zone
stock,idAtProviders,character varying
stock,dateModifiedAtLastProvider,timestamp without time zone
stock,id,bigint
stock,dateModified,timestamp without time zone
stock,price,numeric
stock,quantity,integer
stock,bookingLimitDatetime,timestamp without time zone
stock,lastProviderId,bigint
stock,offerId,bigint
stock,isSoftDeleted,boolean
stock,beginningDatetime,timestamp without time zone
stock,dateCreated,timestamp without time zone
stock,fieldsUpdated,text[]
stock,hasBeenMigrated,boolean
