id,category_id,pro_label,app_label,search_group_name,homepage_label_name,is_event,conditional_fields,can_expire,is_physical_deposit,is_digital_deposit,online_offline_platform,reimbursement_rule,can_be_duo,can_be_educational,is_selectable,is_bookable_by_underage_when_free,is_bookable_by_underage_when_not_free,can_be_withdrawable
ABO_BIBLIOTHEQUE,LIVRE,"Abonnement (bibliothèques, médiathèques...)","Abonnement (bibliothèques, médiathèques...)",LIVRES,LIVRES,false,[],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
ABO_CONCERT,MUSIQUE_LIVE,Abonnement concert,Abonnement concert,CONCERTS_FESTIVALS,CONCERT,false,"['musicType', 'gtl_id']",true,false,false,OFFLINE,STANDARD,false,false,true,true,true,false
ABO_JEU_VIDEO,JEU,Abonnement jeux vidéos,Abonnement jeux vidéos,JEUX_JEUX_VIDEOS,JEUX,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,false,false,false
ABO_LIVRE_NUMERIQUE,LIVRE,Abonnement livres numériques,Abonnement livres numériques,LIVRES,LIVRES,false,[],true,false,true,ONLINE,BOOK,false,false,true,true,true,false
ABO_LUDOTHEQUE,JEU,Abonnement ludothèque,Abonnement ludothèque,JEUX_JEUX_VIDEOS,JEUX,false,[],true,true,false,OFFLINE,STANDARD,false,false,false,false,false,false
ABO_MEDIATHEQUE,FILM,Abonnement médiathèque,Abonnement médiathèque,LIVRES,FILMS,false,[],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
ABO_PLATEFORME_MUSIQUE,MUSIQUE_ENREGISTREE,Abonnement plateforme musicale,Abonnement plateforme musicale,CD_VINYLE_MUSIQUE_EN_LIGNE,MUSIQUE,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
ABO_PLATEFORME_VIDEO,FILM,Abonnement plateforme streaming,Abonnement plateforme streaming,FILMS_SERIES_CINEMA,FILMS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
ABO_PRATIQUE_ART,PRATIQUE_ART,Abonnement pratique artistique,Abonnement pratique artistique,ARTS_LOISIRS_CREATIFS,COURS,false,[],true,false,false,OFFLINE,STANDARD,false,false,true,true,true,false
ABO_PRESSE_EN_LIGNE,MEDIA,Abonnement presse en ligne,Abonnement presse en ligne,MEDIA_PRESSE,MEDIAS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,true,false
ABO_SPECTACLE,SPECTACLE,Abonnement spectacle,Abonnement spectacle,SPECTACLES,SPECTACLES,false,"['showSubType', 'showType']",true,false,false,OFFLINE,STANDARD,false,false,true,true,true,false
ACHAT_INSTRUMENT,INSTRUMENT,Achat instrument,Achat instrument,INSTRUMENTS,INSTRUMENT,false,['ean'],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
ACTIVATION_EVENT,TECHNIQUE,Catégorie technique d'évènement d'activation ,Catégorie technique d'évènement d'activation ,NONE,NONE,true,[],false,false,false,ONLINE_OR_OFFLINE,NOT_REIMBURSED,false,false,false,true,false,false
ACTIVATION_THING,TECHNIQUE,Catégorie technique de thing d'activation,Catégorie technique de thing d'activation,NONE,NONE,false,[],false,true,false,ONLINE_OR_OFFLINE,NOT_REIMBURSED,false,false,false,true,false,false
APP_CULTURELLE,MEDIA,Application culturelle,Application culturelle,MEDIA_PRESSE,MEDIAS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,true,false
ATELIER_PRATIQUE_ART,PRATIQUE_ART,"Atelier, stage de pratique artistique","Atelier, stage de pratique artistique",ARTS_LOISIRS_CREATIFS,STAGE_ATELIER,true,['speaker'],false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
AUTRE_SUPPORT_NUMERIQUE,FILM,Autre support numérique,Autre support numérique,FILMS_SERIES_CINEMA,FILMS,false,[],false,false,true,ONLINE,NOT_REIMBURSED,false,false,true,true,false,false
BON_ACHAT_INSTRUMENT,INSTRUMENT,Bon d'achat instrument,Bon d'achat instrument,INSTRUMENTS,INSTRUMENT,false,[],true,true,false,OFFLINE,STANDARD,false,false,false,true,true,false
CAPTATION_MUSIQUE,MUSIQUE_ENREGISTREE,Captation musicale,Captation musicale,ARTS_LOISIRS_CREATIFS,MUSIQUE,false,"['author', 'musicSubType', 'musicType', 'gtl_id', 'performer']",false,false,true,OFFLINE,NOT_REIMBURSED,false,false,false,true,true,false
CARTE_CINE_ILLIMITE,CINEMA,Carte cinéma illimité,Carte cinéma illimité,FILMS_SERIES_CINEMA,CINEMA,false,[],true,false,false,OFFLINE,STANDARD,false,false,true,true,true,false
CARTE_CINE_MULTISEANCES,CINEMA,Carte cinéma multi-séances,Carte cinéma multi-séances,FILMS_SERIES_CINEMA,CINEMA,false,[],true,false,false,OFFLINE,STANDARD,false,false,true,true,true,false
CARTE_JEUNES,CARTE_JEUNES,Carte jeunes,Carte jeunes,CARTES_JEUNES,CARTE_JEUNES,false,[],true,true,false,OFFLINE,STANDARD,false,false,true,true,true,false
CARTE_MUSEE,MUSEE,"Abonnement musée, carte ou pass","Abonnement musée, carte ou pass",MUSEES_VISITES_CULTURELLES,MUSEE,false,[],true,false,false,OFFLINE,STANDARD,true,false,true,true,true,false
CINE_PLEIN_AIR,CINEMA,Cinéma plein air,Cinéma plein air,FILMS_SERIES_CINEMA,CINEMA,true,"['author', 'visa', 'stageDirector']",false,false,false,OFFLINE,STANDARD,true,true,true,true,true,false
