id,dbt_valid_from,dbt_valid_to,type
1,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
1,2024-01-10T00:00:00,,updated_row
2,2024-01-01T00:00:00,2024-01-05T00:00:00,initial_load
2,2024-01-05T00:00:00,2024-01-10T00:00:00,updated_row
2,2024-01-10T00:00:00,2024-02-09T00:00:00,anomaly_updated_row
2,2024-02-09T00:00:00,2024-02-19T00:00:00,updated_row
2,2024-02-19T00:00:00,,updated_row
3,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
3,2024-01-10T00:00:00,2024-02-10T00:00:00,anomaly_updated_row
3,2024-02-10T00:00:00,2024-02-13T00:00:00,updated_row
3,2024-02-13T00:00:00,2024-02-21T00:00:00,updated_row
3,2024-02-21T00:00:00,,updated_row
4,2024-01-01T00:00:00,2024-01-09T00:00:00,initial_load
4,2024-01-09T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
5,2024-01-01T00:00:00,2024-01-06T00:00:00,deleted_row
6,2024-01-01T00:00:00,2024-02-20T00:00:00,initial_load
6,2024-02-20T00:00:00,,updated_row
7,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
7,2024-01-02T00:00:00,2024-01-04T00:00:00,deleted_row
8,2024-01-01T00:00:00,2024-01-12T00:00:00,initial_load
8,2024-01-12T00:00:00,,updated_row
9,2024-01-01T00:00:00,2024-02-08T00:00:00,initial_load
9,2024-02-08T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
10,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
10,2024-01-08T00:00:00,2024-01-10T00:00:00,updated_row
10,2024-01-10T00:00:00,2024-01-25T00:00:00,anomaly_updated_row
10,2024-01-25T00:00:00,,updated_row
11,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
11,2024-01-10T00:00:00,2024-01-26T00:00:00,anomaly_updated_row
11,2024-01-26T00:00:00,,updated_row
12,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
12,2024-01-10T00:00:00,2024-02-23T00:00:00,anomaly_updated_row
12,2024-02-23T00:00:00,,updated_row
13,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
13,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
14,2024-01-01T00:00:00,2024-01-10T00:00:00,deleted_row
15,2024-01-01T00:00:00,2024-02-03T00:00:00,initial_load
15,2024-02-03T00:00:00,,updated_row
16,2024-01-01T00:00:00,2024-01-05T00:00:00,initial_load
16,2024-01-05T00:00:00,2024-01-10T00:00:00,updated_row
16,2024-01-10T00:00:00,2024-01-14T00:00:00,anomaly_updated_row
16,2024-01-14T00:00:00,2024-01-22T00:00:00,updated_row
16,2024-01-22T00:00:00,2024-02-01T00:00:00,updated_row
16,2024-02-01T00:00:00,,anomaly_updated_row
17,2024-01-01T00:00:00,,initial_load
18,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
18,2024-01-10T00:00:00,2024-03-01T00:00:00,deleted_row
19,2024-01-01T00:00:00,2024-01-07T00:00:00,deleted_row
20,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
20,2024-01-10T00:00:00,2024-01-15T00:00:00,anomaly_updated_row
20,2024-01-15T00:00:00,2024-01-23T00:00:00,updated_row
20,2024-01-23T00:00:00,2024-01-30T00:00:00,updated_row
20,2024-01-30T00:00:00,2024-02-01T00:00:00,updated_row
20,2024-02-01T00:00:00,,anomaly_updated_row
21,2024-01-01T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
22,2024-01-01T00:00:00,2024-01-07T00:00:00,initial_load
22,2024-01-07T00:00:00,2024-01-10T00:00:00,updated_row
22,2024-01-10T00:00:00,,anomaly_updated_row
23,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
23,2024-01-08T00:00:00,,updated_row
24,2024-01-01T00:00:00,2024-01-04T00:00:00,initial_load
24,2024-01-04T00:00:00,2024-02-10T00:00:00,updated_row
24,2024-02-10T00:00:00,,updated_row
25,2024-01-01T00:00:00,2024-02-11T00:00:00,initial_load
25,2024-02-11T00:00:00,2024-02-12T00:00:00,updated_row
25,2024-02-12T00:00:00,2024-02-29T00:00:00,updated_row
25,2024-02-29T00:00:00,,updated_row
26,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
26,2024-01-02T00:00:00,2024-01-10T00:00:00,updated_row
26,2024-01-10T00:00:00,2024-01-22T00:00:00,anomaly_updated_row
26,2024-01-22T00:00:00,2024-01-30T00:00:00,updated_row
26,2024-01-30T00:00:00,,updated_row
27,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
27,2024-01-10T00:00:00,2024-01-31T00:00:00,anomaly_updated_row
27,2024-01-31T00:00:00,2024-02-05T00:00:00,updated_row
27,2024-02-05T00:00:00,2024-02-10T00:00:00,updated_row
27,2024-02-10T00:00:00,,updated_row
28,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
28,2024-01-02T00:00:00,2024-02-13T00:00:00,updated_row
28,2024-02-13T00:00:00,2024-02-28T00:00:00,updated_row
28,2024-02-28T00:00:00,,updated_row
29,2024-01-01T00:00:00,2024-02-01T00:00:00,initial_load
29,2024-02-01T00:00:00,,anomaly_updated_row
30,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
30,2024-01-10T00:00:00,,anomaly_updated_row
31,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
31,2024-01-02T00:00:00,2024-01-10T00:00:00,updated_row
31,2024-01-10T00:00:00,2024-01-23T00:00:00,deleted_row
32,2024-01-01T00:00:00,2024-01-06T00:00:00,initial_load
32,2024-01-06T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
33,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
33,2024-01-02T00:00:00,2024-01-30T00:00:00,updated_row
33,2024-01-30T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
34,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
34,2024-01-10T00:00:00,2024-02-01T00:00:00,anomaly_updated_row
34,2024-02-01T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
35,2024-01-01T00:00:00,2024-01-12T00:00:00,initial_load
35,2024-01-12T00:00:00,,updated_row
36,2024-01-01T00:00:00,2024-01-23T00:00:00,initial_load
36,2024-01-23T00:00:00,2024-02-21T00:00:00,updated_row
36,2024-02-21T00:00:00,,updated_row
37,2024-01-01T00:00:00,2024-01-12T00:00:00,initial_load
37,2024-01-12T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
38,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
38,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
39,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
39,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
40,2024-01-01T00:00:00,2024-02-15T00:00:00,initial_load
40,2024-02-15T00:00:00,,updated_row
41,2024-01-01T00:00:00,2024-01-05T00:00:00,initial_load
41,2024-01-05T00:00:00,2024-01-10T00:00:00,updated_row
41,2024-01-10T00:00:00,,anomaly_updated_row
42,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
42,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_updated_row
42,2024-01-20T00:00:00,2024-01-28T00:00:00,updated_row
42,2024-01-28T00:00:00,,updated_row
43,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
43,2024-01-10T00:00:00,2024-01-15T00:00:00,deleted_row
44,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
44,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
45,2024-01-01T00:00:00,2024-01-05T00:00:00,initial_load
45,2024-01-05T00:00:00,2024-01-10T00:00:00,updated_row
45,2024-01-10T00:00:00,2024-01-26T00:00:00,anomaly_updated_row
45,2024-01-26T00:00:00,2024-01-30T00:00:00,updated_row
45,2024-01-30T00:00:00,2024-02-01T00:00:00,updated_row
45,2024-02-01T00:00:00,,updated_row
46,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
46,2024-01-10T00:00:00,2024-01-29T00:00:00,anomaly_updated_row
46,2024-01-29T00:00:00,2024-02-09T00:00:00,updated_row
46,2024-02-09T00:00:00,,updated_row
47,2024-01-01T00:00:00,2024-01-03T00:00:00,initial_load
47,2024-01-03T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
48,2024-01-01T00:00:00,2024-01-11T00:00:00,deleted_row
49,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
49,2024-01-10T00:00:00,2024-01-16T00:00:00,anomaly_updated_row
49,2024-01-16T00:00:00,2024-01-30T00:00:00,updated_row
49,2024-01-30T00:00:00,2024-02-11T00:00:00,anomaly_deleted_row
50,2024-01-01T00:00:00,2024-01-30T00:00:00,initial_load
50,2024-01-30T00:00:00,,updated_row
51,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
51,2024-01-10T00:00:00,2024-02-27T00:00:00,anomaly_updated_row
51,2024-02-27T00:00:00,,updated_row
52,2024-01-01T00:00:00,2024-01-09T00:00:00,initial_load
52,2024-01-09T00:00:00,2024-01-10T00:00:00,updated_row
52,2024-01-10T00:00:00,,anomaly_updated_row
53,2024-01-01T00:00:00,,initial_load
54,2024-01-01T00:00:00,2024-01-08T00:00:00,deleted_row
55,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
55,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
56,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
56,2024-01-10T00:00:00,,anomaly_updated_row
57,2024-01-01T00:00:00,2024-01-11T00:00:00,initial_load
57,2024-01-11T00:00:00,2024-02-26T00:00:00,deleted_row
58,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
58,2024-01-10T00:00:00,,anomaly_updated_row
59,2024-01-01T00:00:00,2024-01-12T00:00:00,initial_load
59,2024-01-12T00:00:00,2024-02-26T00:00:00,deleted_row
60,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
60,2024-01-10T00:00:00,2024-01-14T00:00:00,anomaly_updated_row
60,2024-01-14T00:00:00,,updated_row
61,2024-01-01T00:00:00,2024-01-09T00:00:00,initial_load
61,2024-01-09T00:00:00,2024-01-10T00:00:00,updated_row
61,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
62,2024-01-01T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
63,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
63,2024-01-10T00:00:00,2024-01-25T00:00:00,anomaly_updated_row
63,2024-01-25T00:00:00,,updated_row
64,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
64,2024-01-10T00:00:00,2024-02-17T00:00:00,anomaly_updated_row
64,2024-02-17T00:00:00,,updated_row
65,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
65,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
66,2024-01-01T00:00:00,2024-01-04T00:00:00,initial_load
66,2024-01-04T00:00:00,2024-01-05T00:00:00,deleted_row
67,2024-01-01T00:00:00,2024-01-14T00:00:00,initial_load
67,2024-01-14T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
68,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
68,2024-01-10T00:00:00,2024-01-26T00:00:00,anomaly_updated_row
68,2024-01-26T00:00:00,2024-02-03T00:00:00,updated_row
68,2024-02-03T00:00:00,2024-02-19T00:00:00,updated_row
68,2024-02-19T00:00:00,2024-03-01T00:00:00,updated_row
68,2024-03-01T00:00:00,,updated_row
69,2024-01-01T00:00:00,2024-02-22T00:00:00,initial_load
69,2024-02-22T00:00:00,,updated_row
70,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
70,2024-01-10T00:00:00,2024-01-14T00:00:00,anomaly_updated_row
70,2024-01-14T00:00:00,,updated_row
71,2024-01-01T00:00:00,2024-01-12T00:00:00,deleted_row
72,2024-01-01T00:00:00,2024-01-03T00:00:00,initial_load
72,2024-01-03T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
73,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
73,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
74,2024-01-01T00:00:00,2024-01-03T00:00:00,deleted_row
75,2024-01-01T00:00:00,2024-01-11T00:00:00,initial_load
75,2024-01-11T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
76,2024-01-01T00:00:00,,initial_load
77,2024-01-01T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
78,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
78,2024-01-10T00:00:00,2024-02-02T00:00:00,anomaly_updated_row
78,2024-02-02T00:00:00,2024-02-15T00:00:00,deleted_row
79,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
79,2024-01-08T00:00:00,2024-01-10T00:00:00,updated_row
79,2024-01-10T00:00:00,2024-02-19T00:00:00,anomaly_updated_row
79,2024-02-19T00:00:00,,updated_row
80,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
80,2024-01-10T00:00:00,,anomaly_updated_row
81,2024-01-01T00:00:00,2024-01-03T00:00:00,initial_load
81,2024-01-03T00:00:00,2024-01-10T00:00:00,updated_row
81,2024-01-10T00:00:00,2024-02-01T00:00:00,anomaly_updated_row
81,2024-02-01T00:00:00,,anomaly_updated_row
82,2024-01-01T00:00:00,2024-01-03T00:00:00,initial_load
82,2024-01-03T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
83,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
83,2024-01-10T00:00:00,2024-02-11T00:00:00,deleted_row
84,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
84,2024-01-10T00:00:00,2024-01-11T00:00:00,anomaly_updated_row
84,2024-01-11T00:00:00,2024-02-01T00:00:00,updated_row
84,2024-02-01T00:00:00,2024-02-13T00:00:00,anomaly_updated_row
84,2024-02-13T00:00:00,,updated_row
85,2024-01-01T00:00:00,2024-01-09T00:00:00,initial_load
85,2024-01-09T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
86,2024-01-01T00:00:00,2024-01-07T00:00:00,initial_load
86,2024-01-07T00:00:00,2024-01-09T00:00:00,updated_row
86,2024-01-09T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
87,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
87,2024-01-08T00:00:00,,updated_row
88,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
88,2024-01-10T00:00:00,2024-01-18T00:00:00,anomaly_updated_row
88,2024-01-18T00:00:00,2024-01-20T00:00:00,deleted_row
89,2024-01-01T00:00:00,,initial_load
90,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
90,2024-01-02T00:00:00,2024-01-10T00:00:00,updated_row
90,2024-01-10T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
91,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
91,2024-01-08T00:00:00,2024-01-10T00:00:00,updated_row
91,2024-01-10T00:00:00,2024-01-19T00:00:00,anomaly_updated_row
91,2024-01-19T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
92,2024-01-01T00:00:00,2024-01-10T00:00:00,initial_load
92,2024-01-10T00:00:00,2024-02-24T00:00:00,deleted_row
93,2024-01-01T00:00:00,2024-02-03T00:00:00,initial_load
93,2024-02-03T00:00:00,,updated_row
94,2024-01-01T00:00:00,2024-01-20T00:00:00,anomaly_deleted_row
95,2024-01-01T00:00:00,2024-01-02T00:00:00,deleted_row
96,2024-01-01T00:00:00,2024-01-02T00:00:00,initial_load
96,2024-01-02T00:00:00,2024-01-10T00:00:00,updated_row
96,2024-01-10T00:00:00,2024-01-18T00:00:00,anomaly_updated_row
96,2024-01-18T00:00:00,2024-02-01T00:00:00,updated_row
96,2024-02-01T00:00:00,2024-02-23T00:00:00,anomaly_updated_row
96,2024-02-23T00:00:00,,updated_row
97,2024-01-01T00:00:00,2024-01-08T00:00:00,initial_load
97,2024-01-08T00:00:00,2024-01-10T00:00:00,updated_row
97,2024-01-10T00:00:00,2024-01-15T00:00:00,deleted_row
98,2024-01-01T00:00:00,2024-01-09T00:00:00,initial_load
